bank,rating,avg_score,sentiment_distribution
Abyssiniya Bank,1,-0.16879082125603867,"{'negative': 98, 'neutral': 70, 'positive': 39}"
Abyssiniya Bank,2,-0.016807142857142847,"{'neutral': 7, 'negative': 4, 'positive': 3}"
Abyssiniya Bank,3,0.16188888888888892,"{'positive': 13, 'neutral': 10, 'negative': 4}"
Abyssiniya Bank,4,0.3715636363636364,"{'positive': 7, 'neutral': 4}"
Abyssiniya Bank,5,0.30546060606060604,"{'positive': 77, 'neutral': 48, 'negative': 7}"
Commercial Bank of Ethiopia,1,-0.02475714285714286,"{'negative': 18, 'positive': 16, 'neutral': 15}"
Commercial Bank of Ethiopia,2,-0.013018749999999999,"{'negative': 6, 'positive': 5, 'neutral': 5}"
Commercial Bank of Ethiopia,3,0.1168375,"{'neutral': 15, 'positive': 7, 'negative': 2}"
Commercial Bank of Ethiopia,4,0.2360581395348837,"{'positive': 23, 'neutral': 17, 'negative': 3}"
Commercial Bank of Ethiopia,5,0.4003787234042553,"{'positive': 170, 'neutral': 59, 'negative': 6}"
Dashen Bank,1,-0.005330303030303029,"{'negative': 12, 'positive': 12, 'neutral': 9}"
Dashen Bank,2,-0.05244444444444444,"{'neutral': 7, 'negative': 6, 'positive': 5}"
Dashen Bank,3,0.3038727272727273,"{'positive': 7, 'neutral': 4}"
Dashen Bank,4,0.27003157894736846,"{'positive': 10, 'neutral': 7, 'negative': 2}"
Dashen Bank,5,0.5594608552631579,"{'positive': 247, 'neutral': 54, 'negative': 3}"
